device;ano-mes;min_temp;max_temp;total_temp;min_humi;max_humi;total_humi;min_lumi;max_lumi;total_lumi;min_noise;max_noise;total_noise;min_eco2;max_eco2;total_eco2;min_etvoc;max_etvoc;total_etvoc
sirrosteste_UCS_AMV-21;2024-04;20.00;28.30;22.19;49.40;77.00;63.91;0.00;320.00;2.08;47.50;110.60;74.62;0.00;187.00;21.17;400.00;1523.00;544.78
sirrosteste_UCS_AMV-15;2024-05;6.90;34.60;18.42;38.60;98.60;83.46;0.00;1129.20;91.01;53.20;120.00;78.52;0.00;46.00;15.62;400.00;705.00;405.33
sirrosteste_UCS_AMV-06;2024-05;7.00;29.00;18.11;45.50;99.90;91.19;0.40;780.80;53.11;55.90;120.00;81.79;20.00;20.00;20.00;403.00;403.00;403.00
sirrosteste_UCS_AMV-10;2024-05;13.60;27.50;19.41;46.70;99.90;84.28;0.00;119.20;11.62;47.40;120.00;72.69;0.00;1193.00;264.97;400.00;2225.00;998.56
sirrosteste_UCS_AMV-13;2024-05;11.90;21.80;15.76;60.10;82.50;69.66;0.00;574.30;20.00;38.60;109.00;57.51;0.00;1184.00;79.50;400.00;2219.00;810.70
sirrosteste_UCS_AMV-07;2024-05;11.50;21.70;15.53;58.80;86.80;70.90;0.00;1329.10;14.83;39.20;109.70;56.63;0.00;1166.00;96.79;400.00;2211.00;825.90
sirrosteste_UCS_AMV-08;2024-05;3.60;33.90;14.93;39.40;98.00;84.78;0.00;11770.70;559.88;49.40;120.00;78.50;0.00;1186.00;24.59;400.00;2220.00;434.48
sirrosteste_UCS_AMV-18;2024-05;3.50;33.20;15.25;49.30;99.90;92.46;1.20;5409.40;453.40;51.90;120.00;83.01;20.00;20.00;20.00;403.00;403.00;403.07
sirrosteste_UCS_AMV-09;2024-05;12.50;24.40;17.45;55.40;78.10;67.39;0.00;25.10;0.46;45.30;100.60;81.50;20.00;20.00;20.00;403.00;403.00;403.01
sirrosteste_UCS_AMV-19;2024-05;19.00;19.50;19.50;87.20;89.90;89.82;0.00;543.10;58.35;44.10;120.00;71.58;0.00;1195.00;306.66;400.00;2226.00;1238.61
sirrosteste_UCS_AMV-05;2024-05;4.90;31.80;15.30;39.10;96.60;83.14;0.00;3601.30;316.81;48.80;112.50;72.46;0.00;1194.00;48.05;400.00;2225.00;619.42
sirrosteste_UCS_AMV-16;2024-05;12.60;28.30;17.71;57.60;82.90;71.15;0.00;60.50;0.98;46.70;102.10;58.33;0.00;913.00;89.12;400.00;2095.00;927.82
sirrosteste_UCS_AMV-11;2024-05;16.60;24.60;16.86;72.40;99.80;97.67;0.00;7025.70;579.74;47.80;114.70;72.83;20.00;20.00;20.00;403.00;403.00;403.06
sirrosteste_UCS_AMV-22;2024-05;15.20;28.30;18.58;56.50;82.10;65.35;0.00;96.40;3.32;58.00;100.00;65.14;4.00;1002.00;88.70;430.00;2134.00;859.17
sirrosteste_UCS_AMV-20;2024-05;12.00;28.30;17.38;48.50;76.20;65.72;0.00;270.90;2.14;43.50;104.50;57.09;0.00;415.00;40.12;400.00;1771.00;660.81
sirrosteste_UCS_AMV-23;2024-05;4.10;28.30;14.65;48.20;100.00;91.69;0.00;2430.10;238.08;45.80;113.60;78.91;0.00;1191.00;86.30;400.00;2224.00;638.62
sirrosteste_UCS_AMV-21;2024-05;12.50;28.30;17.60;55.60;79.90;68.34;0.00;15.00;0.81;44.40;101.20;63.33;0.00;883.00;52.08;400.00;2081.00;712.80
sirrosteste_UCS_AMV-13;2024-06;12.50;23.60;18.05;51.70;74.90;66.40;0.00;549.90;33.74;39.50;108.60;56.82;0.00;1165.00;53.94;400.00;2212.00;715.24
sirrosteste_UCS_AMV-07;2024-06;12.50;24.60;17.90;55.90;77.60;67.63;0.00;1270.20;25.77;40.50;100.00;56.31;0.00;594.00;60.78;400.00;1905.00;763.68
sirrosteste_UCS_AMV-17;2024-06;0.00;60.00;12.94;36.90;86.30;62.37;0.00;13100.70;29.46;48.20;120.00;74.61;0.00;1184.00;76.28;400.00;2219.00;653.37
sirrosteste_UCS_AMV-04;2024-06;16.50;19.50;17.89;51.10;80.00;59.88;0.00;15.20;10.90;64.60;99.60;85.46;0.00;173.00;16.00;400.00;1470.00;504.27
sirrosteste_UCS_AMV-09;2024-06;9.40;23.00;17.16;44.20;79.70;63.92;0.00;8.80;0.56;46.60;120.00;85.32;20.00;20.00;20.00;403.00;403.00;403.00
sirrosteste_UCS_AMV-11;2024-06;16.10;16.60;16.60;96.10;98.20;98.22;0.00;4689.40;523.09;49.60;114.60;72.78;20.00;20.00;20.00;403.00;403.00;403.00
sirrosteste_UCS_AMV-16;2024-06;0.00;60.00;16.65;32.60;99.90;72.22;0.00;7427.10;144.79;48.00;110.50;64.10;0.00;1193.00;70.16;400.00;2222.00;766.49
sirrosteste_UCS_AMV-14;2024-06;0.70;29.70;13.06;12.20;83.20;58.43;0.00;7681.50;628.41;44.60;120.00;70.36;0.00;1187.00;139.82;400.00;2221.00;961.35
sirrosteste_UCS_AMV-10;2024-06;0.80;13.00;7.96;38.40;97.40;71.76;0.00;88.20;13.77;47.60;106.70;71.65;0.00;927.00;1.58;400.00;2102.00;408.42
sirrosteste_UCS_AMV-12;2024-06;0.00;60.00;14.43;22.70;85.40;63.24;0.00;9259.80;114.24;46.00;120.00;75.06;0.00;939.00;13.92;400.00;2108.00;464.40
sirrosteste_UCS_AMV-05;2024-06;0.00;60.00;15.94;35.80;93.60;72.13;0.00;2910.80;413.99;49.60;101.40;71.73;0.00;289.00;4.49;400.00;1644.00;433.41
sirrosteste_UCS_AMV-08;2024-06;0.00;3278.00;16.64;28.50;95.70;71.20;0.00;8131.80;746.07;48.20;110.30;78.02;0.00;371.00;19.54;400.00;1735.00;405.57
sirrosteste_UCS_AMV-20;2024-06;13.10;28.30;18.21;52.50;72.50;64.18;0.00;42.40;1.88;44.30;99.20;57.75;0.00;437.00;46.61;400.00;1788.00;684.33
sirrosteste_UCS_AMV-21;2024-06;13.90;28.30;18.22;54.50;81.60;67.60;0.00;6.30;0.87;45.20;120.00;64.33;0.00;1002.00;44.43;400.00;2134.00;669.19
sirrosteste_UCS_AMV-23;2024-06;0.10;60.00;14.80;36.50;100.00;82.67;0.00;1993.00;255.28;45.50;120.00;77.28;0.00;1193.00;47.78;400.00;2224.00;513.12
sirrosteste_UCS_AMV-18;2024-06;3.70;28.60;16.66;53.10;99.90;86.04;0.70;4213.00;412.89;53.60;120.00;83.40;20.00;20.00;20.00;403.00;403.00;403.00
